node_id,energy,dist_to_sink_node,reputation,anomaly_count,suspicious_count,neighbour_count
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,104.03532010915498,92.19544457292888,1.0,1,0,4
1,90.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,113.20841212731773,71.7007670809734,1.0,1,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,133.62641516460477,42.941821107167776,1.0,1,0,11
10,116.54044522399008,60.41522986797286,1.0,1,0,9
11,136.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.5,2,1,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,136.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,134.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,131.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,104.03532010915498,92.19544457292888,1.0,1,0,4
1,90.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,113.20841212731773,71.7007670809734,1.0,1,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,116.54044522399008,60.41522986797286,1.0,1,0,9
11,136.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.5,2,1,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,126.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,134.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,131.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,94.03532010915498,92.19544457292888,1.0,1,0,4
1,90.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,113.20841212731773,71.7007670809734,1.0,1,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,116.54044522399008,60.41522986797286,1.0,1,0,9
11,136.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.5,2,1,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,126.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,134.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,131.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,94.03532010915498,92.19544457292888,1.0,1,0,4
1,90.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,93.20841212731773,71.7007670809734,1.0,2,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,116.54044522399008,60.41522986797286,1.0,1,0,9
11,136.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.1111111111111111,3,2,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,126.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,134.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,131.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,94.03532010915498,92.19544457292888,1.0,1,0,4
1,80.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,93.20841212731773,71.7007670809734,1.0,2,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,116.54044522399008,60.41522986797286,1.0,1,0,9
11,136.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.1111111111111111,3,2,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,126.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,134.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,131.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,94.03532010915498,92.19544457292888,1.0,1,0,4
1,80.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,93.20841212731773,71.7007670809734,1.0,2,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,106.54044522399008,60.41522986797286,1.0,1,0,9
11,136.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.1111111111111111,3,2,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,126.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,134.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,131.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,94.03532010915498,92.19544457292888,1.0,1,0,4
1,80.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,93.20841212731773,71.7007670809734,1.0,2,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,106.54044522399008,60.41522986797286,1.0,1,0,9
11,126.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.1111111111111111,3,2,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,126.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,134.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,131.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,94.03532010915498,92.19544457292888,1.0,1,0,4
1,80.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,93.20841212731773,71.7007670809734,1.0,2,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,106.54044522399008,60.41522986797286,1.0,1,0,9
11,126.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.1111111111111111,3,2,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,116.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,134.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,121.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,84.03532010915498,92.19544457292888,1.0,1,0,4
1,80.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,93.20841212731773,71.7007670809734,1.0,2,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,106.54044522399008,60.41522986797286,1.0,1,0,9
11,126.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.1111111111111111,3,2,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,116.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,134.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,121.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,84.03532010915498,92.19544457292888,1.0,1,0,4
1,80.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,93.20841212731773,71.7007670809734,1.0,2,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,106.54044522399008,60.41522986797286,1.0,1,0,9
11,126.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.1111111111111111,3,2,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,116.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,124.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,117.17105315160225,86.02325267042627,1.0,1,0,6
25,121.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,84.03532010915498,92.19544457292888,1.0,1,0,4
1,80.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,93.20841212731773,71.7007670809734,1.0,2,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,106.54044522399008,60.41522986797286,1.0,1,0,9
11,126.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.1111111111111111,3,2,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,116.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,124.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,117.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,107.17105315160225,86.02325267042627,1.0,1,0,6
25,121.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,84.03532010915498,92.19544457292888,1.0,1,0,4
1,80.85944165341725,75.0,1.0,1,0,7
2,112.98496868152034,6.4031242374328485,1.0,1,0,7
3,90.42150903522831,64.03124237432849,1.0,1,0,9
4,112.49431012627258,39.05124837953327,1.0,1,0,11
5,93.20841212731773,71.7007670809734,1.0,2,0,8
6,132.5787610545789,22.360679774997898,1.0,1,0,11
7,107.5052134000487,60.0,1.0,1,0,7
8,142.79771626344694,41.23105625617661,1.0,1,0,6
9,123.62641516460477,42.941821107167776,1.0,1,0,11
10,106.54044522399008,60.41522986797286,1.0,1,0,9
11,126.45900881474935,47.43416490252569,1.0,1,0,6
12,117.25071020928867,65.62011886609167,1.0,1,0,3
13,122.24570384179698,44.553338819890925,0.1111111111111111,3,2,10
14,91.06512678876314,15.811388300841896,1.0,1,0,7
15,148.27889043084807,55.226805085936306,1.0,1,0,8
16,128.9847346206496,30.4138126514911,1.0,1,0,8
17,116.22354985942744,18.027756377319946,1.0,1,0,12
18,123.89356232715663,20.615528128088304,1.0,1,0,6
19,127.47264386093715,10.0,1.0,1,0,5
20,124.84414215461888,95.524865872714,1.0,1,0,4
21,126.47279913080229,80.77747210701756,1.0,1,0,5
22,107.60837030339606,69.6419413859206,1.0,1,0,6
23,121.01974343808226,18.027756377319946,1.0,1,0,5
24,107.17105315160225,86.02325267042627,1.0,1,0,6
25,121.19388504990422,35.0,1.0,1,0,6
26,120.75801804286701,70.178344238091,1.0,1,0,4
27,124.85371532037294,35.90264614203248,1.0,1,0,10
28,126.36857927889078,54.62600113499065,1.0,1,0,8
29,128.2462569048031,58.855755878248644,1.0,1,0,5
0,124.85364155014659,92.19544457292888,1.0,1,0,4
1,118.53048641707957,75.0,1.0,1,0,7
2,103.69428308689254,6.4031242374328485,1.0,1,0,7
3,127.17389456220948,64.03124237432849,1.0,1,0,9
4,135.52482459433202,39.05124837953327,1.0,1,0,11
5,116.93572749218906,71.7007670809734,1.0,1,0,8
6,144.10456994275114,22.360679774997898,1.0,1,0,11
7,106.45101326058517,60.0,1.0,1,0,7
8,142.25354274089403,41.23105625617661,1.0,1,0,6
9,112.65446077457584,42.941821107167776,1.0,1,0,11
10,119.33737059729185,60.41522986797286,1.0,1,0,9
11,124.42546795115408,47.43416490252569,1.0,1,0,6
12,101.37880279787004,65.62011886609167,1.0,1,0,3
13,135.32765060155012,44.553338819890925,1.0,1,0,10
14,145.05630397586395,15.811388300841896,1.0,1,0,7
15,136.77362215934477,55.226805085936306,1.0,1,0,8
16,139.66804919913045,30.4138126514911,1.0,1,0,8
17,115.72089975565828,18.027756377319946,1.0,1,0,12
18,124.55960460562005,20.615528128088304,1.0,1,0,6
19,136.03534043581016,10.0,1.0,1,0,5
20,109.61294599381232,95.524865872714,1.0,1,0,4
21,127.47329479227811,80.77747210701756,1.0,1,0,5
22,107.48579655065245,69.6419413859206,1.0,1,0,6
23,149.4850767641143,18.027756377319946,1.0,1,0,5
24,132.308615451223,86.02325267042627,1.0,1,0,6
25,148.2188613500216,35.0,1.0,1,0,6
26,122.60362438842428,70.178344238091,1.0,1,0,4
27,112.52604150845977,35.90264614203248,1.0,1,0,10
28,117.10306201181416,54.62600113499065,1.0,1,0,8
29,109.89860453177539,58.855755878248644,1.0,1,0,5
0,114.85364155014659,92.19544457292888,1.0,1,0,4
1,118.53048641707957,75.0,1.0,1,0,7
2,103.69428308689254,6.4031242374328485,1.0,1,0,7
3,127.17389456220948,64.03124237432849,1.0,1,0,9
4,135.52482459433202,39.05124837953327,1.0,1,0,11
5,116.93572749218906,71.7007670809734,1.0,1,0,8
6,144.10456994275114,22.360679774997898,1.0,1,0,11
7,106.45101326058517,60.0,1.0,1,0,7
8,142.25354274089403,41.23105625617661,1.0,1,0,6
9,112.65446077457584,42.941821107167776,1.0,1,0,11
10,119.33737059729185,60.41522986797286,1.0,1,0,9
11,124.42546795115408,47.43416490252569,1.0,1,0,6
12,101.37880279787004,65.62011886609167,1.0,1,0,3
13,135.32765060155012,44.553338819890925,1.0,1,0,10
14,145.05630397586395,15.811388300841896,1.0,1,0,7
15,136.77362215934477,55.226805085936306,1.0,1,0,8
16,139.66804919913045,30.4138126514911,1.0,1,0,8
17,115.72089975565828,18.027756377319946,1.0,1,0,12
18,124.55960460562005,20.615528128088304,1.0,1,0,6
19,136.03534043581016,10.0,1.0,1,0,5
20,109.61294599381232,95.524865872714,1.0,1,0,4
21,127.47329479227811,80.77747210701756,1.0,1,0,5
22,107.48579655065245,69.6419413859206,1.0,1,0,6
23,149.4850767641143,18.027756377319946,1.0,1,0,5
24,132.308615451223,86.02325267042627,1.0,1,0,6
25,148.2188613500216,35.0,1.0,1,0,6
26,122.60362438842428,70.178344238091,1.0,1,0,4
27,112.52604150845977,35.90264614203248,1.0,1,0,10
28,117.10306201181416,54.62600113499065,1.0,1,0,8
29,109.89860453177539,58.855755878248644,1.0,1,0,5
0,114.85364155014659,92.19544457292888,1.0,1,0,4
1,108.53048641707957,75.0,1.0,1,0,7
2,103.69428308689254,6.4031242374328485,1.0,1,0,7
3,127.17389456220948,64.03124237432849,1.0,1,0,9
4,135.52482459433202,39.05124837953327,1.0,1,0,11
5,116.93572749218906,71.7007670809734,1.0,1,0,8
6,144.10456994275114,22.360679774997898,1.0,1,0,11
7,106.45101326058517,60.0,1.0,1,0,7
8,142.25354274089403,41.23105625617661,1.0,1,0,6
9,112.65446077457584,42.941821107167776,1.0,1,0,11
10,119.33737059729185,60.41522986797286,1.0,1,0,9
11,124.42546795115408,47.43416490252569,1.0,1,0,6
12,101.37880279787004,65.62011886609167,1.0,1,0,3
13,135.32765060155012,44.553338819890925,1.0,1,0,10
14,145.05630397586395,15.811388300841896,1.0,1,0,7
15,136.77362215934477,55.226805085936306,1.0,1,0,8
16,139.66804919913045,30.4138126514911,1.0,1,0,8
17,115.72089975565828,18.027756377319946,1.0,1,0,12
18,124.55960460562005,20.615528128088304,1.0,1,0,6
19,136.03534043581016,10.0,1.0,1,0,5
20,109.61294599381232,95.524865872714,1.0,1,0,4
21,127.47329479227811,80.77747210701756,1.0,1,0,5
22,107.48579655065245,69.6419413859206,1.0,1,0,6
23,149.4850767641143,18.027756377319946,1.0,1,0,5
24,132.308615451223,86.02325267042627,1.0,1,0,6
25,148.2188613500216,35.0,1.0,1,0,6
26,122.60362438842428,70.178344238091,1.0,1,0,4
27,112.52604150845977,35.90264614203248,1.0,1,0,10
28,117.10306201181416,54.62600113499065,1.0,1,0,8
29,109.89860453177539,58.855755878248644,1.0,1,0,5
0,114.85364155014659,92.19544457292888,1.0,1,0,4
1,108.53048641707957,75.0,1.0,1,0,7
2,103.69428308689254,6.4031242374328485,1.0,1,0,7
3,127.17389456220948,64.03124237432849,1.0,1,0,9
4,135.52482459433202,39.05124837953327,1.0,1,0,11
5,96.93572749218906,71.7007670809734,1.0,1,0,8
6,144.10456994275114,22.360679774997898,1.0,1,0,11
7,106.45101326058517,60.0,1.0,1,0,7
8,142.25354274089403,41.23105625617661,1.0,1,0,6
9,112.65446077457584,42.941821107167776,1.0,1,0,11
10,119.33737059729185,60.41522986797286,1.0,1,0,9
11,124.42546795115408,47.43416490252569,1.0,1,0,6
12,101.37880279787004,65.62011886609167,1.0,1,0,3
13,135.32765060155012,44.553338819890925,0.5,2,1,10
14,145.05630397586395,15.811388300841896,1.0,1,0,7
15,136.77362215934477,55.226805085936306,1.0,1,0,8
16,139.66804919913045,30.4138126514911,1.0,1,0,8
17,115.72089975565828,18.027756377319946,1.0,1,0,12
18,124.55960460562005,20.615528128088304,1.0,1,0,6
19,136.03534043581016,10.0,1.0,1,0,5
20,109.61294599381232,95.524865872714,1.0,1,0,4
21,127.47329479227811,80.77747210701756,1.0,1,0,5
22,107.48579655065245,69.6419413859206,1.0,1,0,6
23,149.4850767641143,18.027756377319946,1.0,1,0,5
24,132.308615451223,86.02325267042627,1.0,1,0,6
25,148.2188613500216,35.0,1.0,1,0,6
26,122.60362438842428,70.178344238091,1.0,1,0,4
27,112.52604150845977,35.90264614203248,1.0,1,0,10
28,117.10306201181416,54.62600113499065,1.0,1,0,8
29,109.89860453177539,58.855755878248644,1.0,1,0,5
